id,y__abs_energy,"y__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",y__ar_coefficient__coeff_3__k_10,y__count_above_mean,"y__fft_aggregated__aggtype_""centroid""",y__index_mass_quantile__q_0.1,y__number_peaks__n_1,y__ratio_beyond_r_sigma__r_1.5
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---2,6.200565566281277e-06,-0.0595362138541062,-0.0024940274558233,134.0,739.4839306280688,0.0936666666666666,896.0,0.0106666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---3,0.00051258454732,-0.0718737117837974,-0.0007703571963303,44.0,748.9158235227542,0.1316666666666666,929.0,0.001
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---4,1.7563572791324253e-05,-0.0276999411889652,-0.0044200951216463,47.0,746.2150347049436,0.0813333333333333,874.0,0.0106666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---6,1.7563572791324253e-05,-0.0276999411889652,-0.0044200951216463,47.0,746.2150347049436,0.0813333333333333,874.0,0.0106666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---7,1.5990421204136742e-05,0.050925008145908,-0.0047195787982691,54.0,746.1908855407103,0.1143333333333333,903.0,0.0103333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---9,0.0002328025670039,-0.0809942681134507,-0.0013825892902316,46.0,748.51128121318,0.0933333333333333,838.0,0.0036666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3---6,1.5105894140204792e-05,0.0462725656143545,-0.0081262287934947,385.0,742.7105267784981,0.091,832.0,0.016
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2---6,4.100413799989516e-05,-0.067865122859807,-0.0022276675347884,403.0,745.215359770493,0.0336666666666666,905.0,0.005
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2---8,1.041842865704936e-05,-0.0549540913923938,-0.0033119720762444,588.0,737.7127840183015,0.0676666666666666,846.0,0.021
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2---9,3.298799976711316e-06,-0.1362969707476233,-0.0090553578470488,690.0,728.5439309773024,0.087,886.0,0.0256666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sumOfjHiccupLines&numberOfSignificantValueDigits=3---1,7.056396690911814e-05,-0.1899127360891915,-0.0203520853766022,410.0,424.6181669411678,0.0863333333333333,836.0,0.0753333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sumOfjHiccupLines&numberOfSignificantValueDigits=3---2,7.056396690911814e-05,-0.1899127360891915,-0.0203520853766022,410.0,424.6181669411678,0.0863333333333333,836.0,0.0753333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sumOfjHiccupLines&numberOfSignificantValueDigits=3---3,7.120161197355031e-05,-0.3901705417251265,0.0027987012150041,389.0,380.9303474798247,0.0853333333333333,984.0,0.0696666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sumOfjHiccupLines&numberOfSignificantValueDigits=3---4,7.317204196032478e-05,-0.1393109952480438,0.0103315659603645,449.0,492.6947047229415,0.0876666666666666,882.0,0.085
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sumOfjHiccupLines&numberOfSignificantValueDigits=3---5,7.317204196032478e-05,-0.1393109952480438,0.0103315659603645,449.0,492.6947047229415,0.0876666666666666,882.0,0.085
