id,y__abs_energy,y__absolute_maximum,y__absolute_sum_of_changes,y__ar_coefficient__coeff_8__k_10,"y__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)"
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---15,626.674320960195,0.561513,0.3031750000000007,0.0188790686148853,0.0004579173745711
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---6,626.674320960195,0.561513,0.3031750000000007,0.0188790686148853,0.0004579173745711
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---16,598.823240469884,0.555523,0.1921109999999974,0.042643152941435,0.0047953882985458
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---17,598.823240469884,0.555523,0.1921109999999974,0.042643152941435,0.0047953882985458
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---18,564.3028512073079,0.531895,0.0794099999999964,0.1378899935873215,0.0007959475209355
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---19,608.624041775324,0.556893,0.1990430000000009,-0.0020262527390161,0.0031990626421217
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---2,605.142739040201,0.551528,0.2039249999999998,-0.0004929946862262,-0.0019625532677678
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---20,729.464510633165,0.611506,0.1847640000000012,0.0562055677776793,0.0043663258976967
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---5,729.464510633165,0.611506,0.1847640000000012,0.0562055677776793,0.0043663258976967
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---21,610.4534138903059,0.559048,0.1778929999999958,0.0616622978690042,0.0037959923509995
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---22,623.6509154637761,0.564574,0.2308399999999982,0.0200170045372759,0.0036280276895675
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---23,615.302000974157,0.568807,0.2061129999999975,0.0353399590501313,0.0080259308889245
